arm=clinical  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 11.39 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep29 step 240/348 loss 0.3190
  ep29 step 260/348 loss 0.3186
  ep29 step 280/348 loss 0.3174
  ep29 step 300/348 loss 0.3162
  ep29 step 320/348 loss 0.3151
  ep29 step 340/348 loss 0.3148
[grader] epoch 29/30 loss 0.3171 AUC(ref) 0.8940 QWK 0.7017 acc 0.5827 sens(g>=3) 0.7469
  ep30 step 0/348 loss 0.3596
  ep30 step 20/348 loss 0.3323
  ep30 step 40/348 loss 0.3179
  ep30 step 60/348 loss 0.3236
  ep30 step 80/348 loss 0.3269
  ep30 step 100/348 loss 0.3195
  ep30 step 120/348 loss 0.3222
  ep30 step 140/348 loss 0.3199
  ep30 step 160/348 loss 0.3156
  ep30 step 180/348 loss 0.3147
  ep30 step 200/348 loss 0.3136
  ep30 step 220/348 loss 0.3127
  ep30 step 240/348 loss 0.3120
  ep30 step 260/348 loss 0.3139
  ep30 step 280/348 loss 0.3142
  ep30 step 300/348 loss 0.3148
  ep30 step 320/348 loss 0.3140
  ep30 step 340/348 loss 0.3148
[grader] epoch 30/30 loss 0.3141 AUC(ref) 0.8943 QWK 0.7023 acc 0.5815 sens(g>=3) 0.7427

Best qwk 0.7076 at epoch 8 (49.4 min)
  at that epoch: AUC(ref) 0.8932  QWK 0.7076  sens(g>=3) 0.7303
  per-grade recall: 0:0.70  1:0.55  2:0.40  3:0.56  4:0.46
Checkpoint: outputs\grader_clinical_ddrseg\best.pt
