Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep23 step 280/348 loss 0.0322
  ep23 step 300/348 loss 0.0319
  ep23 step 320/348 loss 0.0328
  ep23 step 340/348 loss 0.0336
[grader] epoch 23/30 loss 0.0336 AUC(ref) 0.9491 QWK 0.8402 acc 0.7741 sens(g>=3) 0.8216
  ep24 step 0/348 loss 0.0050
  ep24 step 20/348 loss 0.0232
  ep24 step 40/348 loss 0.0282
  ep24 step 60/348 loss 0.0321
  ep24 step 80/348 loss 0.0324
  ep24 step 100/348 loss 0.0325
  ep24 step 120/348 loss 0.0347
  ep24 step 140/348 loss 0.0343
  ep24 step 160/348 loss 0.0330
  ep24 step 180/348 loss 0.0320
  ep24 step 200/348 loss 0.0336
  ep24 step 220/348 loss 0.0332
  ep24 step 240/348 loss 0.0338
  ep24 step 260/348 loss 0.0335
  ep24 step 280/348 loss 0.0332
  ep24 step 300/348 loss 0.0333
  ep24 step 320/348 loss 0.0323
  ep24 step 340/348 loss 0.0318
[grader] epoch 24/30 loss 0.0318 AUC(ref) 0.9488 QWK 0.8390 acc 0.7729 sens(g>=3) 0.8216
  ep25 step 0/348 loss 0.0204
  ep25 step 20/348 loss 0.0257
  ep25 step 40/348 loss 0.0322
  ep25 step 60/348 loss 0.0326
  ep25 step 80/348 loss 0.0347
  ep25 step 100/348 loss 0.0325
  ep25 step 120/348 loss 0.0309
  ep25 step 140/348 loss 0.0307
  ep25 step 160/348 loss 0.0311
  ep25 step 180/348 loss 0.0304
  ep25 step 200/348 loss 0.0314
  ep25 step 220/348 loss 0.0323
  ep25 step 240/348 loss 0.0332
  ep25 step 260/348 loss 0.0342
  ep25 step 280/348 loss 0.0331
  ep25 step 300/348 loss 0.0326
  ep25 step 320/348 loss 0.0328
  ep25 step 340/348 loss 0.0326
[grader] epoch 25/30 loss 0.0324 AUC(ref) 0.9488 QWK 0.8365 acc 0.7721 sens(g>=3) 0.8133
  ep26 step 0/348 loss 0.0074
  ep26 step 20/348 loss 0.0377
  ep26 step 40/348 loss 0.0324
  ep26 step 60/348 loss 0.0295
  ep26 step 80/348 loss 0.0284
  ep26 step 100/348 loss 0.0293
  ep26 step 120/348 loss 0.0307
  ep26 step 140/348 loss 0.0325
  ep26 step 160/348 loss 0.0335
  ep26 step 180/348 loss 0.0322
  ep26 step 200/348 loss 0.0317
  ep26 step 220/348 loss 0.0329
  ep26 step 240/348 loss 0.0326
  ep26 step 260/348 loss 0.0324
  ep26 step 280/348 loss 0.0319
  ep26 step 300/348 loss 0.0321
  ep26 step 320/348 loss 0.0322
  ep26 step 340/348 loss 0.0314
[grader] epoch 26/30 loss 0.0311 AUC(ref) 0.9488 QWK 0.8376 acc 0.7717 sens(g>=3) 0.8091
  ep27 step 0/348 loss 0.0201
  ep27 step 20/348 loss 0.0248
  ep27 step 40/348 loss 0.0254
  ep27 step 60/348 loss 0.0318
  ep27 step 80/348 loss 0.0313
  ep27 step 100/348 loss 0.0323
  ep27 step 120/348 loss 0.0304
  ep27 step 140/348 loss 0.0326
  ep27 step 160/348 loss 0.0341
  ep27 step 180/348 loss 0.0339
