Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
arm=fusion  train 5578  val 2497
grade distribution (train): [1798, 707, 1798, 376, 899]
parameters: 4.42 M
clinical feature vector: 39 dims
expected batch composition by grade: 0:26.4%  1:16.5%  2:26.4%  3:12.1%  4:18.6%
  ep27 step 40/348 loss 0.0448
  ep27 step 60/348 loss 0.0374
  ep27 step 80/348 loss 0.0399
  ep27 step 100/348 loss 0.0380
  ep27 step 120/348 loss 0.0361
  ep27 step 140/348 loss 0.0359
  ep27 step 160/348 loss 0.0377
  ep27 step 180/348 loss 0.0371
  ep27 step 200/348 loss 0.0377
  ep27 step 220/348 loss 0.0388
  ep27 step 240/348 loss 0.0385
  ep27 step 260/348 loss 0.0386
  ep27 step 280/348 loss 0.0374
  ep27 step 300/348 loss 0.0367
  ep27 step 320/348 loss 0.0374
  ep27 step 340/348 loss 0.0369
[grader] epoch 27/30 loss 0.0369 AUC(ref) 0.9565 QWK 0.8565 acc 0.7938 sens(g>=3) 0.8050
  ep28 step 0/348 loss 0.0773
  ep28 step 20/348 loss 0.0487
  ep28 step 40/348 loss 0.0329
  ep28 step 60/348 loss 0.0324
  ep28 step 80/348 loss 0.0323
  ep28 step 100/348 loss 0.0312
  ep28 step 120/348 loss 0.0293
  ep28 step 140/348 loss 0.0291
  ep28 step 160/348 loss 0.0275
  ep28 step 180/348 loss 0.0284
  ep28 step 200/348 loss 0.0283
  ep28 step 220/348 loss 0.0284
  ep28 step 240/348 loss 0.0287
  ep28 step 260/348 loss 0.0283
  ep28 step 280/348 loss 0.0276
  ep28 step 300/348 loss 0.0276
  ep28 step 320/348 loss 0.0283
  ep28 step 340/348 loss 0.0283
[grader] epoch 28/30 loss 0.0281 AUC(ref) 0.9573 QWK 0.8556 acc 0.7950 sens(g>=3) 0.8008
  ep29 step 0/348 loss 0.0732
  ep29 step 20/348 loss 0.0380
  ep29 step 40/348 loss 0.0384
  ep29 step 60/348 loss 0.0349
  ep29 step 80/348 loss 0.0349
